Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"borderRadius: number","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\SelectSimplePage.ets:39","borderRadius: number@entry\src\main\ets\pages\SelectSimplePage.ets:39","","6.0.0(20)","borderRadius: number"
"borderRadius?: Length","新增API","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\EditSimplePage.ets:68","borderRadius?: Length@entry\src\main\ets\pages\EditSimplePage.ets:68","","6.0.2(22)","borderRadius?: Length"
"borderRadius?: Length","新增API","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\Index.ets:80","borderRadius?: Length@entry\src\main\ets\pages\Index.ets:80","","6.0.2(22)","borderRadius?: Length"
"borderRadius?: Length","新增API","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\SelectSimplePage.ets:39","borderRadius?: Length@entry\src\main\ets\pages\SelectSimplePage.ets:39","","6.0.2(22)","borderRadius?: Length"
"borderRadius?: LengthMetrics","接口新增可选属性","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\EditSimplePage.ets:68","borderRadius?: LengthMetrics@entry\src\main\ets\pages\EditSimplePage.ets:68","","5.1.0(18)","borderRadius?: LengthMetrics"
"borderRadius?: LengthMetrics","接口新增可选属性","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\Index.ets:80","borderRadius?: LengthMetrics@entry\src\main\ets\pages\Index.ets:80","","5.1.0(18)","borderRadius?: LengthMetrics"
"borderRadius?: LengthMetrics","接口新增可选属性","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\SelectSimplePage.ets:39","borderRadius?: LengthMetrics@entry\src\main\ets\pages\SelectSimplePage.ets:39","","5.1.0(18)","borderRadius?: LengthMetrics"
"borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\EditSimplePage.ets:68","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses@entry\src\main\ets\pages\EditSimplePage.ets:68","","6.0.0(20)","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses"
"borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\Index.ets:80","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses@entry\src\main\ets\pages\Index.ets:80","","6.0.0(20)","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses"
"borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius($r('app.float.tag_corner_radius'))","ArkTS","entry\src\main\ets\pages\SelectSimplePage.ets:39","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses@entry\src\main\ets\pages\SelectSimplePage.ets:39","","6.0.0(20)","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses"
