API名称,语言,SDK变更版本,影响版本,标题,代码位置,修复状态,变更类型
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:485,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:526,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:537,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:570,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:580,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:599,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:620,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:646,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:669,未修复,接口定义变更
baselineOffset(value: number | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\apiChangeTest\kaAnVvU.ets:29,未修复,接口定义变更
static readonly matchParent: LayoutPolicy,ArkTS,6.0.0(20) Beta1,6.0.0(20) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025040275645"",""width和height支持的matchParent接口规格变更"")",entry\src\main\ets\pages\Index.ets:90,未修复,接口行为变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:1,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:17,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:37,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:38,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:422,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:423,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:67,未修复,接口定义变更
declare class CustomDialogController,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025071721132"",""使用字面量初始化CustomDialogController类实例导致的编译行为变更"")",entry\src\main\ets\pages\Index.ets:70,未修复,接口定义变更
columns?: number | GridRowColumnOption,ArkTS,6.0.0(20) Beta1,6.0.0(20) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025040702131"",""GridRow组件columns参数和GridCol组件span参数默认值变更"")",entry\src\main\ets\pages\Index.ets:304,未修复,接口行为变更
span?: number | GridColColumnOption,ArkTS,6.0.0(20) Beta1,6.0.0(20) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#ch2025040702131"",""GridRow组件columns参数和GridCol组件span参数默认值变更"")",entry\src\main\ets\pages\Index.ets:306,未修复,接口行为变更
mimeType: string,ArkTS,6.0.0(20) Beta1,6.0.0(20) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section406"",""ImageInfo对象mimeType返回值变更"")",entry\src\main\ets\apiChangeTest\FZnL3ih.ets:20,未修复,接口行为变更
maximize(): Locale,ArkTS,6.1.0(23) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6101/#ch2025121032586"",""全球化接口与运行时接口本地化显示优化及换行能力增强"")",entry\src\main\ets\apiChangeTest\pTuos8o.ets:17,未修复,接口行为变更
"export function getDisplayLanguage(language: string, locale: string, sentenceCase?: boolean): string",ArkTS,6.1.0(23) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6101/#ch2025121032586"",""全球化接口与运行时接口本地化显示优化及换行能力增强"")",entry\src\main\ets\apiChangeTest\pTuos8o.ets:22,未修复,接口行为变更
transform(text: string): string,ArkTS,6.1.0(23) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6101/#ch2025121032586"",""全球化接口与运行时接口本地化显示优化及换行能力增强"")",entry\src\main\ets\apiChangeTest\pTuos8o.ets:20,未修复,接口行为变更
"format(value: double, unit: string): string",ArkTS,6.1.0(23) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6101/#ch2025121032586"",""全球化接口与运行时接口本地化显示优化及换行能力增强"")",entry\src\main\ets\apiChangeTest\pTuos8o.ets:15,未修复,接口行为变更
"export function getDisplayCountry(country: string, locale: string, sentenceCase?: boolean): string",ArkTS,6.1.0(23) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6101/#ch2025121032586"",""全球化接口与运行时接口本地化显示优化及换行能力增强"")",entry\src\main\ets\apiChangeTest\pTuos8o.ets:21,未修复,接口行为变更
static readonly matchParent: LayoutPolicy,ArkTS,7.0.0(26) Beta1,26.0.0 - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-7001/#ch2026031815681"",""LayoutPolicy.matchParent父组件为Row、Column、Flex组件时，单方向设置matchParent的子组件布局行为变更"")",entry\src\main\ets\pages\Index.ets:90,未修复,接口行为变更
showToast(options: promptAction.ShowToastOptions): void,ArkTS,7.0.0(26) Beta1,26.0.0 - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-7001/#ch2026032761266"",""Dialog、Toast、AlphabetIndexer和文本选择菜单默认开启沉浸式系统材质"")",entry\src\main\ets\apiChangeTest\vZuHw9m.ets:11,未修复,UX视觉布局变更
showToast(options: promptAction.ShowToastOptions): void,ArkTS,7.0.0(26) Beta1,26.0.0 - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-7001/#ch2026032761266"",""Dialog、Toast、AlphabetIndexer和文本选择菜单默认开启沉浸式系统材质"")",entry\src\main\ets\pages\Index.ets:80,未修复,UX视觉布局变更
declare const Text: TextInterface,ArkTS,7.0.0(26) Beta1,26.0.0 - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-7001/#ch2026032761266"",""Dialog、Toast、AlphabetIndexer和文本选择菜单默认开启沉浸式系统材质"")",entry\src\main\ets\apiChangeTest\AGdimU0.ets:29,未修复,UX视觉布局变更
declare const Text: TextInterface,ArkTS,7.0.0(26) Beta1,26.0.0 - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-7001/#ch2026032761266"",""Dialog、Toast、AlphabetIndexer和文本选择菜单默认开启沉浸式系统材质"")",entry\src\main\ets\apiChangeTest\AGdimU0.ets:32,未修复,UX视觉布局变更
declare const Text: TextInterface,ArkTS,7.0.0(26) Beta1,26.0.0 - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-7001/#ch2026032761266"",""Dialog、Toast、AlphabetIndexer和文本选择菜单默认开启沉浸式系统材质"")",entry\src\main\ets\apiChangeTest\AGdimU0.ets:38,未修复,UX视觉布局变更
